ISBN,ISBN13 (Formatted),Author (SN/FN),Work Author on Cover,Work Cover Title,Work Sub Title,Edition Original Language,Edition Binding,Edition Discount Type,Published Price,Region Pricing: UK (UK),Region Pricing: Europe (EU),Edition Group Titles: Series,Edition Extent,Edition Illustration Details,Edition Format,Pub Date Year,Edition Group Titles: BISAC,Edition Territory,Group Code: BISAC/1,Group Code: BISAC/2,Group Code: BISAC/3,,,,
674235398,9780674235397,"Easterbrook, Frank H.,Fischel, Daniel R.",Frank Easterbrook and Daniel R. Fischel,The Economic Structure of Corporate Law,,,Paperback,Short,$45.50,£36.95,€41.00,,384,"1 line illustration, 1 table",6-1/8 x 9-1/4,1996,LAW / General,World,LAW000000,,,,,,
674910168,9780674910164,"de Bary, Wm. Theodore",Wm. Theodore de Bary,The Trouble with Confucianism,,,Paperback,Short,$24.50,£19.95,€22.00,The Tanner Lectures on Human Values,150,,6 x 9,1996,"RELIGION / Confucianism,SOCIAL SCIENCE / Ethnic Studies / General",World,REL018000,SOC008000,,,,,
674990498,9780674990494,"Apuleius, ",Apuleius,"Metamorphoses (The Golden Ass), Volume I",Books 1-6,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,336,none,4-1/4 x 6-3/8,1996,"LITERARY COLLECTIONS / Ancient & Classical,LITERARY CRITICISM / Ancient & Classical",World,LCO003000,LIT004190,,,,,
873657888,9780873657884,"Graham, Ian,von Euw, Eric",Ian Graham and Eric von Euw,"Corpus of Maya Hieroglyphic Inscriptions, Volume 3: Part 1: Yaxchilan",,,Paperback,Short,$50.00,£40.95,€45.00,Corpus of Maya Hieroglyphic Inscriptions,64,"28 line illustrations, 28 halftones, 1 map, 1 site plan",Other,1996,"SOCIAL SCIENCE / Archaeology,FOREIGN LANGUAGE STUDY / Native American Languages,HISTORY / Americas (North, Central, South, West Indies)","World, subsidiary rights restricted",SOC003000,FOR031000,HIS038000,,,,
674779142,9780674779143,"Beacham, Richard C.",Richard C. Beacham,The Roman Theatre and Its Audience,,,Paperback,Short,$28.50,£22.95,€25.50,,279,34 halftones,6-1/8 x 9-1/4,1996,HISTORY / Ancient / General,"Not for sale UK, British Commonwealth & Europe (except Canada)",HIS002000,,,,,,
674746139,9780674746138,"Tai, Hue-Tam Ho",Hue-Tam Ho Tai,Radicalism and the Origins of the Vietnamese Revolution,,,Paperback,Short,$45.50,£36.95,€41.00,,325,,6-1/8 x 9-1/4,1996,"HISTORY / Asia / Southeast Asia,HISTORY / Revolutionary,SOCIAL SCIENCE / Violence in Society",World,HIS048000,HIS031000,SOC051000,,,,
067426181X,9780674261815,"Napier, Susan",Susan Napier,Escape from the Wasteland,Romanticism and Realism in the Fiction of Mishima Yukio and Oe Kenzaburo,,Paperback,Short,$21.00,£16.95,€19.00,Harvard-Yenching Institute Monograph Series,,,6 x 9,1996,SOCIAL SCIENCE / Ethnic Studies / General,World,SOC008000,,,,,,
884022250,9780884022251,,Elizabeth Hill Boone,Andean Art at Dumbarton Oaks,,,Hardback,Short,$150.00,£120.95,€135.00,Pre-Columbian Art at Dumbarton Oaks,524,330 color illustrations,Other,1996,HISTORY / Latin America / General,World,HIS024000,,,,,,
884022110,9780884022114,,Frances F. Berdan,Aztec Imperial Strategies,,,Hardback,Short,$60.00,£48.95,€54.00,Dumbarton Oaks Pre-Columbian Symposia and Colloquia,400,136,Other,1996,HISTORY / Latin America / General,World,HIS024000,,,,,,
088402234X,9780884022343,"Alexakis, Alexander",Alexander Alexakis,Codex Parisinus Graecus 1115 and Its Archetype,,,Hardback,Short,$70.00,£56.95,€63.00,Dumbarton Oaks Studies,456,11 halftones,6-1/8 x 9-1/4,1996,HISTORY / Ancient / General,World,HIS002000,,,,,,
067463456X,9780674634565,"Ceci, Stephen J.",Stephen Ceci,On Intelligence,"A Biological Treatise on Intellectual Development, Expanded Edition",,Paperback,Short,$36.00,£28.95,€32.50,,312,"9 line illustrations, 4 tables",6-1/8 x 9-1/4,1996,"PSYCHOLOGY / Cognitive Psychology & Cognition,PSYCHOLOGY / Applied Psychology",World,PSY008000,PSY003000,,,,,
674624432,9780674624436,"Berkowitz, Peter",Peter Berkowitz,Nietzsche,The Ethics of an Immoralist,,Paperback,Short,$33.50,£26.95,€30.00,,313,,6-1/8 x 9-1/4,1996,"PHILOSOPHY / Ethics & Moral Philosophy,PHILOSOPHY / Political,BIOGRAPHY & AUTOBIOGRAPHY / Philosophers",World,PHI005000,PHI019000,BIO009000,,,,
674406206,9780674406209,"Bersani, Leo",Leo Bersani,Homos,,,Paperback,Short,$14.50,£11.95,€13.00,,218,None,Other,1996,"LITERARY CRITICISM / LGBT,LITERARY CRITICISM / Semiotics & Theory,SOCIAL SCIENCE / LGBT Studies / Gay Studies",World,LIT004160,LIT006000,SOC012000,,,,
674205197,9780674205192,,Frederic G. Cassidy,"Dictionary of American Regional English, Volume III: I-O",,,Hardback,Short,$149.00,£119.95,€134.00,,944,550 maps,8-1/2 x 11,1996,"REFERENCE / Dictionaries,LANGUAGE ARTS & DISCIPLINES / Spelling & Vocabulary,LANGUAGE ARTS & DISCIPLINES / Linguistics / General,HISTORY / United States / State & Local / General",World,REF008000,LAN021000,LAN009000,,,,
674810848,9780674810846,"duCille, Ann",Ann DuCille,Skin Trade,,,Paperback,Short,$36.00,£28.95,€32.50,,,,6 x 9,1996,"SOCIAL SCIENCE / Discrimination & Race Relations,SOCIAL SCIENCE / Popular Culture,SOCIAL SCIENCE / Gender Studies",World,SOC031000,SOC022000,SOC032000,,,,
674484258,9780674484252,"Winthrop, John",John Winthrop,"The Journal of John Winthrop, 1630-1649",,,Hardback,Short,$230.50,£184.95,€207.50,The John Harvard Library,374,"6 maps, 2 halftones",Other,1996,"HISTORY / United States / Colonial Period (1600-1775),BIOGRAPHY & AUTOBIOGRAPHY / Historical",World,HIS036020,BIO006000,,,,,
674953576,9780674953574,"Davis, Richard L.",Richard L. Davis,Wind Against the Mountain,The Crisis of Politics and Culture in Thirteenth-Century China,,Hardback,Short,$44.95,£35.95,€40.50,Harvard-Yenching Institute Monograph Series,,,Other,1996,HISTORY / Asia / China,World,HIS008000,,,,,,
067416699X,9780674166998,"Djilas, Aleksa",Aleksa Djilas,The Contested Country,"Yugoslav Unity and Communist Revolution, 1919-1953",,Paperback,Short,$37.00,£29.95,€33.50,"Russian Research Center Studies,Harvard Historical Studies",272,1 map,6-1/8 x 9-1/4,1996,"HISTORY / Europe / Eastern,HISTORY / Modern / General,POLITICAL SCIENCE / Political Ideologies / Communism, Post-Communism & Socialism",World,HIS010010,HIS037030,POL005000,,,,
674160878,9780674160873,,Tu Wei-ming,Confucian Traditions in East Asian Modernity,Moral Education and Economic Culture in Japan and the Four Mini-Dragons,,Paperback,Short,$43.50,£34.95,€39.00,,432,"11 line-art, 7 tables",6-1/4 x 9-1/4,1996,"HISTORY / Asia / General,RELIGION / Confucianism,BUSINESS & ECONOMICS / Development / Economic Development",World,HIS003000,REL018000,BUS068000,,,,
873658175,9780873658171,"Graham, Ian,Mathews, Peter",Ian Graham and Peter Mathews,"Corpus of Maya Hieroglyphic Inscriptions, Volume 6: Part 2: Tonina",,,Paperback,Short,$50.00,£40.95,€45.00,Corpus of Maya Hieroglyphic Inscriptions,64,"105 line illustrations, 145 halftones, 1 structure diagram",Other,1996,"SOCIAL SCIENCE / Archaeology,FOREIGN LANGUAGE STUDY / Native American Languages,HISTORY / Americas (North, Central, South, West Indies)","World, subsidiary rights restricted",SOC003000,FOR031000,HIS038000,,,,
674240774,9780674240773,,John Daniel Spengler,Particles in Our Air,Exposures and Health Effects,,Paperback,Short,$21.00,£16.95,€19.00,,265,"Various tables, graphs ,and line illustrations",6 x 9,1996,"MEDICAL / General,MEDICAL / Public Health",World,MED000000,MED078000,,,,,
674037030,9780674037038,"Vauclair, Jacques",Jacques Vauclair,Animal Cognition,An Introduction to Modern Comparative Psychology,,Hardback,Short,$73.50,£58.95,€66.00,,222,various line illustration,6-1/8 x 9-1/4,1996,"PSYCHOLOGY / Cognitive Psychology & Cognition,PSYCHOLOGY / Experimental Psychology,SCIENCE / Life Sciences / Zoology / General",World,PSY008000,PSY040000,SCI070000,,,,
674258622,9780674258624,"Buell, Lawrence",Lawrence Buell,The Environmental Imagination,"Thoreau, Nature Writing, and the Formation of American Culture",,Paperback,Short,$38.00,£30.95,€34.00,,600,4 fine line illustrations,6-1/4 x 9-1/4,1996,"LITERARY CRITICISM / American / General,NATURE / Essays,NATURE / Environmental Conservation & Protection",World,LIT004020,NAT024000,NAT011000,,,,
674396596,9780674396593,"Bensaude-Vincent, Bernadette,Stengers, Isabelle",Bernadette Bensaude-Vincent and Isabelle Stengers,A History of Chemistry,,,Hardback,Short,$82.50,£66.95,€74.50,,313,7 line illustrations,6-1/8 x 9-1/4,1996,"SCIENCE / Chemistry / General,REFERENCE / General,SCIENCE / History",World,SCI013000,REF000000,SCI034000,,,,
067445443X,9780674454439,"Inman, Arthur C.",Arthur C. Inman,From a Darkened Room,The Inman Diary,,Paperback,Short,$19.50,£15.95,€17.50,,592,23 halftones,6 x 9,1996,"BIOGRAPHY & AUTOBIOGRAPHY / Historical,HISTORY / Modern / 20th Century",World,BIO006000,HIS037070,,,,,
674053052,9780674053052,"Altemeyer, Bob",Bob Altemeyer,The Authoritarian Specter,,,Hardback,Short,$86.50,£69.95,€78.00,,384,"11 tables, 3 line illustrations",Other,1996,"PSYCHOLOGY / Personality,PSYCHOLOGY / Research & Methodology",World,PSY023000,PSY030000,,,,,
674190017,9780674190016,"Frederic, Harold",Harold Frederic,The Damnation of Theron Ware,,,Paperback,Academic Trade,$16.00,£12.95,€14.50,The John Harvard Library,384,none,5-1/2 x 8-1/4,1996,"FICTION / Historical / General,RELIGION / Clergy,LITERARY CRITICISM / American / General",World,FIC014000,REL081000,LIT004020,,,,
916458717,9780916458713,"Walicki, Andrzej",Andrzej Walicki,Poland Between East and West,The Controversies over Self-Definition and Modernization in Partitioned Poland,,Paperback,Short,$5.50,£4.95,€5.00,"Harvard Papers in Ukrainian Studies,Harvard Ukrainian Research Institute Publications",63,,Other,1996,"HISTORY / Russia & the Former Soviet Union,SOCIAL SCIENCE / Sociology / General",World,HIS032000,SOC026000,,,,,
674858263,9780674858268,"Stowe, David W.",David W. Stowe,Swing Changes,Big-Band Jazz in New Deal America,,Paperback,Short,$44.00,£35.95,€39.50,,299,20 illustrations,6-1/8 x 9-1/4,1996,"SOCIAL SCIENCE / Popular Culture,HISTORY / United States / 20th Century,MUSIC / Genres & Styles / Jazz",World,SOC022000,HIS036060,MUS025000,,,,
932885136,9780932885135,,,Book of Gifts and Rarities (Kitāb al-Hadāyā wa al-Tuḥaf),Selections Compiled in the Fifteenth Century from an Eleventh-Century Manuscript on Gifts and Treasures,,Paperback,Short,$23.00,£18.95,€20.50,Harvard Middle Eastern Monographs,551,"28 color illustrations,3 maps, 1 line illustration",6 x 9,1996,SOCIAL SCIENCE / Ethnic Studies / General,World,SOC008000,,,,,,
674576403,9780674576407,"Rentschler, Eric",Eric Rentschler,Ministry of Illusion,Nazi Cinema and Its Afterlife,,Paperback,Short,$52.00,£41.95,€47.00,,480,"40 halftones, 4 tables, 2 line illustrations",6-1/8 x 9-1/4,1996,"PERFORMING ARTS / Film & Video / History & Criticism,HISTORY / Europe / Germany,HISTORY / Modern / 20th Century",World,PER004030,HIS014000,HIS037070,,,,
674048830,9780674048836,"Marling, Karal Ann",Karal Ann Marling,As Seen on TV,The Visual Culture of Everyday Life in the 1950s,,Paperback,Short,$35.50,£28.95,€32.00,,336,128 halftones,6-1/8 x 9-1/4,1996,"HISTORY / United States / 20th Century,SOCIAL SCIENCE / Popular Culture,PERFORMING ARTS / Television / History & Criticism",World,HIS036060,SOC022000,PER010030,,,,
674357582,9780674357587,"Kapstein, Ethan B.",Ethan Kapstein,Governing the Global Economy,International Finance and the State,,Paperback,Short,$32.00,£25.95,€29.00,,216,"13 halftones, 1 line illustration",6-1/8 x 9-1/4,1996,"BUSINESS & ECONOMICS / Banks & Banking,BUSINESS & ECONOMICS / International / Economics,POLITICAL SCIENCE / Public Policy / Economic Policy",World,BUS004000,BUS069020,POL024000,,,,
674634403,9780674634404,"Phillips, Adam",Adam Phillips,On Flirtation,,,Paperback,Academic Trade,$30.50,£24.95,€27.50,,256,none,5-1/2 x 8-1/4,1996,PSYCHOLOGY / Movements / Psychoanalysis,Not for sale UK & British Commonwealth (except Canada),PSY026000,,,,,,
674664817,9780674664814,"Matthews, Gareth",Gareth Matthews,The Philosophy of Childhood,,,Paperback,Short,$14.50,£11.95,€13.00,,136,,5-1/2 x 8-1/4,1996,"PSYCHOLOGY / Psychotherapy / Child & Adolescent,PSYCHOLOGY / Developmental / Child,PHILOSOPHY / Ethics & Moral Philosophy",World,PSY006000,PSY004000,PHI005000,,,,
674502558,9780674502550,"Goble, Andrew Edmund",Andrew Edmund Goble,Kenmu,Go–Daigo's Revolution,,Hardback,Short,$52.50,£42.95,€47.50,Harvard East Asian Monographs,,,6 x 9,1996,"HISTORY / Asia / Japan,HISTORY / Revolutionary,BIOGRAPHY & AUTOBIOGRAPHY / Historical",World,HIS021000,HIS031000,BIO006000,,,,
674758412,9780674758414,"Greeley, Andrew M.",Andrew Greeley,Religious Change in America,,,Paperback,Short,$36.50,£29.95,€33.00,Social Trends in the United States,152,23 linecuts,5-1/2 x 8-1/4,1996,"RELIGION / General,RELIGION / Faith,SOCIAL SCIENCE / Demography",World,REL000000,REL077000,SOC006000,,,,
674344812,9780674344815,"Gillispie, Charles Coulston",Charles Gillispie,Genesis and Geology,"A Study of the Relations of Scientific Thought, Natural Theology, and Social Opinion in Great Britain, 1790–1850, With a Foreword by Nicolaas A. Rupke and a New Preface by the Author",,Paperback,Short,$36.00,£28.95,€32.50,Harvard Historical Studies,351,1 halftone,5-1/2 x 8-1/4,1996,"HISTORY / Europe / Great Britain / General,SCIENCE / History,RELIGION / History",World,HIS015000,SCI034000,REL033000,,,,
674594975,9780674594975,"Gladney, Dru C.",Dru Gladney,Muslim Chinese,"Ethnic Nationalism in the People's Republic, Second Edition",,Paperback,Short,$26.50,£21.95,€24.00,Harvard East Asian Monographs,493,"36 halftones, 6 maps, 3 line drawings, 30 tables",6 x 9,1996,"SOCIAL SCIENCE / Anthropology / Cultural & Social,SOCIAL SCIENCE / Ethnic Studies / General,HISTORY / Asia / China",World,SOC002010,SOC008000,HIS008000,,,,
674576101,9780674576100,"McDowell, John",John McDowell,Mind and World,With a New Introduction by the Author,,Paperback,Academic Trade,$35.00,£28.95,€31.50,,224,None,6-1/8 x 9-1/4,1996,"PHILOSOPHY / General,PHILOSOPHY / Mind & Body",World,PHI000000,PHI015000,,,,,
091645875X,9780916458751,"Pugh, Stefan M.",Stefan Pugh,Testament to Ruthenian,A Linguistic Analysis of the Smotryc'kyj Variant,,Hardback,Short,$42.00,£33.95,€38.00,"Harvard Series in Ukrainian Studies,Harvard Ukrainian Research Institute Publications",,,6 x 9,1996,LANGUAGE ARTS & DISCIPLINES / Linguistics / General,World,LAN009000,,,,,,
674116631,9780674116634,,Richard W. Wrangham,Chimpanzee Cultures,,,Paperback,Short,$50.00,£40.95,€45.00,,448,"41 halftones, 40 line illustrations",Other,1996,SCIENCE / Life Sciences / Zoology / General,World,SCI070000,,,,,,
932885128,9780932885128,"Mottahedeh, Roy Parviz",Mark Pinson,The Muslims of Bosnia-Herzegovina,"Their Historic Development from the Middle Ages to the Dissolution of Yugoslavia, Second Edition",,Paperback,Short,$15.95,£12.95,€14.50,Harvard Middle Eastern Monographs,223,"3 line illustrations, 9 tables",5-1/2 x 8-1/4,1996,HISTORY / Europe / Eastern,World,HIS010010,,,,,,
674953762,9780674953765,"Seeley, Thomas D.",Thomas D. Seeley,The Wisdom of the Hive,The Social Physiology of Honey Bee Colonies,,Hardback,Short,$139.00,£111.95,€125.00,,318,"6 color illustrations, 20 halftones, 116 line illustrations, 7 tables",8 x 9-1/4,1996,"SCIENCE / General,SCIENCE / Life Sciences / Biology",World,SCI000000,SCI008000,,,,,
674539702,9780674539709,"Cahill, James",James Cahill,The Lyric Journey,Poetic Painting in China and Japan,,Hardback,Short,$224.00,£179.95,€201.50,The Edwin O. Reischauer Lectures,276,"157 halftones, 8 color illustrations in a 12 page insert",Other,1996,"ART / Asian / Chinese,ART / Asian / Japanese,LITERARY CRITICISM / Poetry",World,ART019010,ART019030,LIT014000,,,,
674649265,9780674649262,"Posner, Richard A.",Richard A. Posner,Overcoming Law,,,Paperback,Short,$36.00,£28.95,€32.50,,608,None,6-1/8 x 9-1/4,1996,"LAW / Legal Profession,LAW / Comparative,LAW / Constitutional",World,LAW061000,LAW016000,LAW018000,,,,
674505867,9780674505865,"Paley, Vivian Gussin",Vivian Gussin Paley,Kwanzaa and Me,A Teacher’s Story,,Paperback,Academic Trade,$24.00,£19.95,€21.50,,160,None,6 x 9,1996,"EDUCATION / Philosophy, Theory & Social Aspects,EDUCATION / Teaching Methods & Materials / General,EDUCATION / Multicultural Education",World,EDU040000,EDU029000,EDU020000,,,,
674964519,9780674964518,"Daniels, Robert V.",Robert V. Daniels,Year of the Heroic Guerrilla,World Revolution and Counterrevolution in 1968,,Paperback,Short,$17.50,£14.95,€16.00,,288,None,6-1/8 x 9-1/4,1996,"HISTORY / World,HISTORY / Modern / 20th Century",World,HIS037000,HIS037070,,,,,
674688627,9780674688629,"Dickinson, Edward",Edward Dickinson,The Politics of German Child Welfare from the Empire to the Federal Republic,,,Hardback,Short,$86.50,£69.95,€78.00,Harvard Historical Studies,,,6-3/8 x 9-1/4,1996,"HISTORY / Europe / Germany,SOCIAL SCIENCE / Human Services",World,HIS014000,SOC016000,,,,,
674720962,9780674720961,"Cavell, Marcia",Marcia Cavell,The Psychoanalytic Mind,From Freud to Philosophy,,Paperback,Short,$45.00,£36.95,€40.50,,,,6-1/8 x 9-1/4,1996,"PSYCHOLOGY / Movements / Psychoanalysis,PHILOSOPHY / General",World,PSY026000,PHI000000,,,,,
674669819,9780674669819,"Cavell, Stanley",Stanley Cavell,A Pitch of Philosophy,Autobiographical Exercises,,Paperback,Short,$31.50,£25.95,€28.50,The Jerusalem-Harvard Lectures,196,,6 x 9,1996,"PHILOSOPHY / General,BIOGRAPHY & AUTOBIOGRAPHY / Philosophers",World,PHI000000,BIO009000,,,,,
916458296,9780916458294,,Bohdan Struminsky,"Lev Krevza’s <i>A Defense of Church Unity</i> (1617) and Zaxarija Kopystens’kyj’s <i>Palinodia</i> or <i>Book of Defense of the Holy Apostolic Eastern Catholic Church and Holy Patriarchs</i> (1620–1623), Parts 1 and 2",,,Hardback,Short,$60.90,£48.95,€55.00,"Harvard Library of Early Ukrainian Literature,Harvard Ukrainian Research Institute Publications",,,6 x 9,1996,HISTORY / Russia & the Former Soviet Union,World,HIS032000,,,,,,
674873416,9780674873414,"Steel, Ronald",Ronald Steel,Temptations of a Superpower,,,Paperback,Short,$20.50,£16.95,€18.50,The Joanna Jackson Goldman Memorial Lectures on American Civilization and Government,144,,5-1/2 x 8-1/4,1996,"POLITICAL SCIENCE / International Relations / General,HISTORY / United States / 20th Century",World,POL011000,HIS036060,,,,,
674304985,9780674304987,"Collcutt, Martin",Martin Collcutt,Five Mountains,The Rinzai Zen Monastic Institution in Medieval Japan,,Paperback,Short,$20.95,£16.95,€19.00,Harvard East Asian Monographs,399,,6 x 9,1996,"HISTORY / Asia / Japan,PHILOSOPHY / Zen",World,HIS021000,PHI025000,,,,,
873658167,9780873658164,"Graham, Ian",Ian Graham,"Corpus of Maya Hieroglyphic Inscriptions, Volume 7: Part 1: Seibal",,,Paperback,Short,$50.00,£40.95,€45.00,Corpus of Maya Hieroglyphic Inscriptions,64,"31 line illustrations, 39 halftones, 1 map, 2 site plans",Other,1996,"SOCIAL SCIENCE / Archaeology,FOREIGN LANGUAGE STUDY / Native American Languages,HISTORY / Americas (North, Central, South, West Indies)","World, subsidiary rights restricted",SOC003000,FOR031000,HIS038000,,,,
674081404,9780674081406,"Roskies, David",David Roskies,A Bridge of Longing,The Lost Art of Yiddish Storytelling,,Paperback,Short,$35.00,£28.95,€31.50,,,,6-1/8 x 9-1/4,1996,"LITERARY CRITICISM / Jewish,HISTORY / Jewish",World,LIT004210,HIS022000,,,,,
067480273X,9780674802735,"Reynolds, Simon,Press, Joy",Simon Reynolds and John Press,The Sex Revolts,"Gender, Rebellion, and Rock ‘n’ Roll",,Paperback,Short,$37.50,£30.95,€34.00,,432,none,5-1/4 x 8-3/8,1996,"MUSIC / Genres & Styles / Rock,MUSIC / History & Criticism,SOCIAL SCIENCE / Gender Studies",World,MUS035000,MUS020000,SOC032000,,,,
674695879,9780674695870,"Schudson, Michael",Michael Schudson,The Power of News,,,Paperback,Short,$37.00,£29.95,€33.50,,288,none,6 x 9,1996,"SOCIAL SCIENCE / Media Studies,LANGUAGE ARTS & DISCIPLINES / Journalism,LANGUAGE ARTS & DISCIPLINES / Communication Studies",World,SOC052000,LAN008000,LAN004000,,,,
067437262X,9780674372627,"Hutchinson, George",George Hutchinson,The Harlem Renaissance in Black and White,,,Hardback,Short,$74.50,£59.95,€67.00,,560,,6-3/8 x 9-1/4,1996,"LITERARY CRITICISM / American / African American,SOCIAL SCIENCE / Ethnic Studies / African American Studies,HISTORY / United States / 20th Century",World,LIT004040,SOC001000,HIS036060,,,,
674761057,9780674761056,"Emerson, Ralph Waldo",Ralph Waldo Emerson,Representative Men,Seven Lectures,,Paperback,Short,$35.00,£28.95,€31.50,,501,"6 halftones, 2 tables",6-1/8 x 9-1/4,1996,LITERARY CRITICISM / American / General,World,LIT004020,,,,,,
674654455,9780674654457,"Adams, John",John Adams,"Papers of John Adams, Volumes 9 and 10",March–December 1780,,Hardback,Short,$312.00,£249.95,€281.00,Adams Papers,1192,5 halftones,Other,1996,"HISTORY / United States / Revolutionary Period (1775-1800),BIOGRAPHY & AUTOBIOGRAPHY / Presidents & Heads of State,BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs",World,HIS036030,BIO011000,BIO026000,,,,
674287770,9780674287778,"Loftus, Elizabeth F.",Elizabeth F. Loftus,Eyewitness Testimony,With a New Preface,,Paperback,Short,$36.00,£28.95,€32.50,,272,"13 tables, 18 line illustrations, 10 halftones",6-1/8 x 9-1/4,1996,"PSYCHOLOGY / General,LAW / Criminal Law / General,LAW / Criminal Procedure,LAW / Witnesses",World,PSY000000,LAW026000,LAW027000,,,,
674031431,9780674031432,"Kazin, Alfred",Alfred Kazin,An American Procession,,,Paperback,Short,$17.50,£14.95,€16.00,,,,5-1/2 x 8-1/4,1996,"LITERARY CRITICISM / American / General,LITERARY CRITICISM / Books & Reading",World rights except United Kingdom & Commonwealth,LIT004020,LIT007000,,,,,
674043235,9780674043237,"Latour, Bruno",Bruno Latour,"Aramis, or the Love of Technology",,,Paperback,Short,$38.00,£30.95,€34.00,,336,"19 line illustrations, 1 map, 20 halftones",6 x 9-1/4,1996,"TECHNOLOGY & ENGINEERING / Civil / General,SOCIAL SCIENCE / Sociology / Urban,HISTORY / Europe / France",World,TEC009020,SOC026030,HIS013000,,,,
674437764,9780674437760,"Dzielska, Maria",Maria Dzielska,Hypatia of Alexandria,,,Paperback,Short,$29.50,£23.95,€26.50,Revealing Antiquity,176,none,5-1/2 x 8-1/4,1996,"HISTORY / Ancient / General,BIOGRAPHY & AUTOBIOGRAPHY / Women",World,HIS002000,BIO022000,,,,,
674118634,9780674118638,"Schwartz, Benjamin I.",Benjamin I. Schwartz,China and Other Matters,,,Paperback,Short,$41.00,£32.95,€37.00,,,,6-1/8 x 9-1/4,1996,HISTORY / Asia / China,World,HIS008000,,,,,,
674356764,9780674356764,"Luhrmann, T. M.",T. M. Luhrmann,The Good Parsi,The Fate of a Colonial Elite in a Postcolonial Society,,Paperback,Short,$42.50,£34.95,€38.50,,336,,6-1/8 x 9-1/4,1996,"SOCIAL SCIENCE / Anthropology / Cultural & Social,HISTORY / Asia / India & South Asia,HISTORY / Europe / Great Britain / General",World,SOC002010,HIS017000,HIS015000,,,,
674295188,9780674295186,"Parke, Ross",Ross Parke,Fatherhood,,,Paperback,Academic Trade,$14.50,£11.95,€13.00,The Developing Child,,,Other,1996,"FAMILY & RELATIONSHIPS / Parenting / Fatherhood,SOCIAL SCIENCE / Men's Studies,PSYCHOLOGY / Psychotherapy / Couples & Family",World,FAM020000,SOC018000,PSY041000,,,,
674174194,9780674174191,"Freud, Sigmund,Ferenczi, Sándor",Sigmund Freud and Sándor Ferenczi,"The Correspondence of Sigmund Freud and Sándor Ferenczi, Volume 2: 1914-1919",,,Hardback,Short,$109.50,£87.95,€98.50,,448,none,6-3/8 x 9-1/4,1996,"PSYCHOLOGY / Movements / Psychoanalysis,PSYCHOLOGY / History,BIOGRAPHY & AUTOBIOGRAPHY / Historical",World,PSY026000,PSY015000,BIO006000,,,,
674601386,9780674601383,"Glendon, Mary Ann",Mary Ann Glendon,A Nation under Lawyers,,,Paperback,Short,$43.50,£34.95,€39.00,,352,8 halftones,6-1/8 x 9-1/4,1996,"LAW / Ethics & Professional Responsibility,LAW / General Practice,LAW / Legal Profession",Not for sale UK & British Commonwealth (except Canada),LAW036000,LAW044000,LAW061000,,,,
067482167X,9780674821675,"Ericson, Steven J.",Steven Ericson,The Sound of the Whistle,Railroads and the State in Meiji Japan,,Hardback,Short,$45.95,£36.95,€41.50,Harvard East Asian Monographs,450,15 halftones,6 x 9,1996,"HISTORY / Asia / Japan,BUSINESS & ECONOMICS / Industries / Transportation,BUSINESS & ECONOMICS / Government & Business",World,HIS021000,BUS070100,BUS079000,,,,
674106539,9780674106536,"Flexner, Eleanor,Fitzpatrick, Ellen",Eleanor Flexner and Ellen Fitzpatrick,Century of Struggle,"The Woman’s Rights Movement in the United States, Enlarged Edition",,Paperback,Short,$35.00,£28.95,€31.50,,432,2 line illustrations,6-1/8 x 9-1/4,1996,"HISTORY / United States / General,SOCIAL SCIENCE / Gender Studies,SOCIAL SCIENCE / Women's Studies",World,HIS036000,SOC032000,SOC028000,,,,
674773195,9780674773196,"Hijiya-Kirschnereit, Irmela",Irmela Hijiya-Kirschnerei,Rituals of Self-Revelation,Shishōsetsu as Literary Genre and Socio-Cultural Phenomenon,,Hardback,Short,$45.95,£36.95,€41.50,Harvard East Asian Monographs,,,6 x 9,1996,SOCIAL SCIENCE / Ethnic Studies / General,World,SOC008000,,,,,,
674707281,9780674707283,"Hughes, H. Stuart",H. Stuart Hughes,Prisoners of Hope,"The Silver Age of the Italian Jews, 1924–1974",,Paperback,Short,$37.50,£30.95,€34.00,,,,Other,1996,"HISTORY / Europe / Italy,HISTORY / Jewish,SOCIAL SCIENCE / Discrimination & Race Relations",World,HIS020000,HIS022000,SOC031000,,,,
674008723,9780674008724,"Geertz, Clifford",Clifford Geertz,After the Fact,"Two Countries, Four Decades, One Anthropologist",,Paperback,Short,$28.50,£22.95,€25.50,The Jerusalem-Harvard Lectures,208,1 table,6 x 9,1996,"SOCIAL SCIENCE / Anthropology / General,SOCIAL SCIENCE / Anthropology / Cultural & Social",World,SOC002000,SOC002010,,,,,
674000862,9780674000865,"Havens, Leston",Leston Havens,A Safe Place,Laying the Groundwork of Psychotherapy,,Paperback,Academic Trade,$26.00,£20.95,€23.50,,,,5-1/2 x 8-1/4,1996,"PSYCHOLOGY / Psychotherapy / General,PSYCHOLOGY / Research & Methodology,MEDICAL / Psychiatry / General,PSYCHOLOGY / Mental Health",World,PSY028000,PSY030000,MED105000,,,,
