ISBN,ISBN13 (Formatted),Author (SN/FN),Work Author on Cover,Work Cover Title,Work Sub Title,Edition Original Language,Edition Binding,Edition Discount Type,Published Price,Region Pricing: UK (UK),Region Pricing: Europe (EU),Edition Group Titles: Series,Edition Extent,Edition Illustration Details,Edition Format,Pub Date Year,Edition Group Titles: BISAC,Edition Territory,Group Code: BISAC/1,Group Code: BISAC/2,Group Code: BISAC/3,,,,
674990382,9780674990388,"John Damascene, ",John Damascene,Barlaam and Ioasaph,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,688,Index,4-1/4 x 6-3/8,1914,"LITERARY COLLECTIONS / Ancient & Classical,RELIGION / Christianity / History,RELIGION / Buddhism / History,LITERARY CRITICISM / Ancient & Classical",World,LCO003000,REL015000,REL007010,,,,
674990455,9780674990456,"Ovid, ",Ovid,Heroides. Amores,,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,544,Index,4-1/4 x 6-3/8,1914,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674990528,9780674990524,"Plutarch, ",Plutarch,"Lives, Volume I",Theseus and Romulus. Lycurgus and Numa. Solon and Publicola,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,608,Index,4-1/4 x 6-3/8,1914,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674995651,9780674995659,"Suetonius, ",Suetonius,"Lives of the Caesars, Volume II","Claudius. Nero. Galba, Otho, and Vitellius. Vespasian. Titus, Domitian. Lives of Illustrious Men: Grammarians and Rhetoricians. Poets (Terence. Virgil. Horace. Tibullus. Persius. Lucan). Lives of Pliny the Elder and Passienus Crispus",Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,576,Index,4-1/4 x 6-3/8,1914,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990447,9780674990449,"Cicero, ",Cicero,On Ends,,Latin,Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,544,Index,4-1/4 x 6-3/8,1914,"PHILOSOPHY / History & Surveys / Ancient & Classical,HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,PHI002000,HIS002020,LIT004190,,,,
674990609,9780674990609,"Lucian, ",Lucian,The Downward Journey or The Tyrant. Zeus Catechized. Zeus Rants. The Dream or The Cock. Prometheus.  Icaromenippus or The Sky-man. Timon or The Misanthrope. Charon or The Inspectors. Philosophies for Sale,,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,528,Index,4-1/4 x 6-3/8,1915,LITERARY CRITICISM / Ancient & Classical,World,LIT004190,,,,,,
674990897,9780674990890,"Plutarch, ",Plutarch,"Lives, Volume IV",Alcibiades and Coriolanus. Lysander and Sulla,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,480,Index,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990889,9780674990883,"Theophrastus, ",Theophrastus,"Enquiry into Plants, Volume II: Books 6-9. On Odours. Weather Signs",,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,512,Indexes and key,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
674990730,9780674990739,"Dio Cassius, ",Dio Cassius,"Roman History, Volume IV",Books 41-45,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,512,Index,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Rome,LITERARY CRITICISM / Ancient & Classical",World,HIS002020,LIT004190,,,,,
674990722,9780674990722,"Plutarch, ",Plutarch,"Lives, Volume III",Pericles and Fabius Maximus. Nicias and Crassus,"Greek, Ancient (to 1453)",Hardback,Loeb,$28.00,£19.95,€25.00,Loeb Classical Library,464,Index,4-1/4 x 6-3/8,1916,"HISTORY / Ancient / Greece,LITERARY CRITICISM / Ancient & Classical",World,HIS002010,LIT004190,,,,,
